Sr.No,Round ▲▼,Institute ▲▼,Program ▲▼,Stream ▲▼,Seat Type ▲▼,Quota ▲▼,Category ▲▼,Opening Rank ▲▼,Closing Rank ▲▼
1,Round 1,"COOCH BEHAR GOVERNMENT ENGINEERING COLLEGE, COOCH BEHAR",Mechanical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,Open (PwD),956,956
2,Round 1,"COOCH BEHAR GOVERNMENT ENGINEERING COLLEGE, COOCH BEHAR",Mechanical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,SC,958,1105
3,Round 1,"COOCH BEHAR GOVERNMENT ENGINEERING COLLEGE, COOCH BEHAR",Mechanical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,ST,922,922
4,Round 1,"COOCH BEHAR GOVERNMENT ENGINEERING COLLEGE, COOCH BEHAR",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,OBC - A,765,950
5,Round 1,"COOCH BEHAR GOVERNMENT ENGINEERING COLLEGE, COOCH BEHAR",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,EWS,1496,1496
6,Round 1,"COOCH BEHAR GOVERNMENT ENGINEERING COLLEGE, COOCH BEHAR",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,Open,366,749
7,Round 1,"COOCH BEHAR GOVERNMENT ENGINEERING COLLEGE, COOCH BEHAR",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,SC,897,954
8,Round 1,"COOCH BEHAR GOVERNMENT ENGINEERING COLLEGE, COOCH BEHAR",Electronics & Communication Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,OBC - A,1598,1636
9,Round 1,"GOVERMENT COLLEGE OF ENGINEERING AND LEATHER TECHNOLOGY, KOLKATA",Information Technology,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,SC,748,935
10,Round 1,"GOVERMENT COLLEGE OF ENGINEERING AND LEATHER TECHNOLOGY, KOLKATA",Information Technology,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,ST,1474,1474
11,Round 1,"GOVERMENT COLLEGE OF ENGINEERING AND LEATHER TECHNOLOGY, KOLKATA",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,OBC - A,411,554
